codePostal;CodeINSEE;BV;Commune;Département;Altitude Moyenne;Superficie;Population;geo_point_2d;geo_shape
1350;1010;74269;ANGLEFORT;AIN;706.0;2948.0;1.0;45.9093715116,5.79516005674;"{""type"": ""Polygon"", ""coordinates"": [[[5.815154073062683, 45.877200783231174], [5.776874099942821, 45.88197739070226], [5.759855001910638, 45.88889080426235], [5.76728494335377, 45.92405717017909], [5.7665959004024465, 45.93578762219412], [5.801658654442379, 45.939871490381606], [5.815999478088373, 45.93643378891402], [5.819586464940337, 45.93460538106138], [5.825204745837008, 45.93889846359942], [5.831226413621034, 45.93845957829321], [5.822121025076339, 45.9301359535238], [5.829154566881811, 45.91723712352513], [5.826140267451207, 45.90327382906802], [5.815154073062683, 45.877200783231174]]]}"
1360;1027;69123;BALAN;AIN;194.0;1794.0;2.4;45.8311226453,5.10780019249;"{""type"": ""Polygon"", ""coordinates"": [[[5.121735945101945, 45.81118088507036], [5.112801486902299, 45.80963690984906], [5.113482051150283, 45.799823324176586], [5.109081222501015, 45.79857244600669], [5.101067478338776, 45.813378082643645], [5.09255837739662, 45.811833600409734], [5.074286414221965, 45.83533042804718], [5.076801966254726, 45.84156279497394], [5.09242020686768, 45.84829183904669], [5.095395670130844, 45.85434417039682], [5.111184200265356, 45.85323950172994], [5.110045313556866, 45.850089915604705], [5.140904990864411, 45.844761953679345], [5.136026218874346, 45.82827921177263], [5.121735945101945, 45.81118088507036]]]}"
1370;1038;1053;BENY;AIN;227.0;1827.0;0.7000000000000001;46.3188629218,5.28253433405;"{""type"": ""Polygon"", ""coordinates"": [[[5.30751282733746, 46.31490748860254], [5.300683666151407, 46.30585687256831], [5.267153041521329, 46.29157513725997], [5.247479512599761, 46.294136138071835], [5.245573178214175, 46.30088499766532], [5.249985851248482, 46.307049743896776], [5.268488620729624, 46.31815052802472], [5.270229776718997, 46.33190777944182], [5.278226941715382, 46.3474949704848], [5.307621982201641, 46.34492181818058], [5.311290418777033, 46.33169498267191], [5.30751282733746, 46.31490748860254]]]}"
1380;1025;71270;BAGE-LA-VILLE;AIN;201.0;3983.0;3.0;46.3233203302,4.9528678933;"{""type"": ""Polygon"", ""coordinates"": [[[4.935722220191812, 46.28773741456501], [4.926940426586556, 46.2859317360163], [4.918846793919452, 46.28891475155211], [4.926593676348706, 46.304132622674715], [4.934137442134383, 46.30613054205334], [4.932811394794539, 46.31200788412946], [4.920970410654059, 46.30758735384339], [4.916326976861033, 46.30971924510211], [4.905489986998468, 46.31802565682057], [4.920735882886935, 46.330154833396016], [4.912872857846346, 46.34513120014072], [4.923190696163305, 46.35263187985568], [4.92815946009602, 46.36626618503947], [4.932803906721571, 46.3677188185679], [4.947184046117409, 46.36959995010321], [4.962438312537384, 46.35629568041194], [4.976022804732342, 46.352773321423655], [4.965916181108517, 46.33760827516816], [4.9653935712435135, 46.32777208365694], [4.968205520655268, 46.32497625937615], [4.992303374169014, 46.321909261519984], [5.008049421196327, 46.31380521918379], [5.011350366345003, 46.3042348993146], [5.004338863333092, 46.29590931112803], [4.991986403101744, 46.29107274923919], [4.969455755385306, 46.29650884585142], [4.956232302416259, 46.2926653373365], [4.941692513386168, 46.29304926970145], [4.935722220191812, 46.28773741456501]]]}"
1390;1105;69123;CIVRIEUX;AIN;286.0;2019.0;1.3;45.922467454,4.88633786877;"{""type"": ""Polygon"", ""coordinates"": [[[4.872086594719973, 45.89353817233855], [4.871180459933858, 45.90332626073163], [4.853099916154461, 45.907019785588126], [4.849115607429312, 45.91286775063065], [4.851347707693961, 45.92361309715402], [4.851221116152384, 45.92906464754394], [4.85298918987958, 45.932125243871575], [4.874085739633975, 45.93678591574667], [4.904966466892488, 45.944629235632796], [4.914358125512428, 45.94365106363694], [4.9207307643424, 45.94792977796863], [4.930799116737161, 45.943777085015604], [4.905518737056596, 45.915435475072805], [4.911682518572318, 45.9063689365044], [4.894661197548019, 45.902169645014936], [4.890573647348683, 45.90374231219691], [4.880698523979359, 45.89716938200597], [4.872086594719973, 45.89353817233855]]]}"
1400;1001;1093;L'ABERGEMENT-CLEMENCIAT;AIN;242.0;1565.0;0.8;46.1534255214,4.92611354223;"{""type"": ""Polygon"", ""coordinates"": [[[4.92627342692396, 46.1200517234555], [4.92199538031264, 46.12069170563269], [4.921996260482057, 46.12663667307488], [4.90936269187648, 46.129164756530656], [4.916016986429157, 46.14461766984426], [4.903080786126749, 46.157977074275074], [4.904571300671208, 46.16096059498421], [4.910603091203733, 46.180432597608316], [4.914119126867876, 46.18271538441311], [4.932895432675545, 46.18304616431434], [4.938729478686701, 46.17383114520867], [4.933038591703602, 46.16429901579509], [4.958286230120842, 46.153246666893935], [4.943330383388636, 46.145964148557894], [4.9391545930562835, 46.12938048470421], [4.931056072485923, 46.12087123131487], [4.92627342692396, 46.1200517234555]]]}"
1410;1081;1033;CHAMPFROMIER;AIN;1049.0;3184.0;0.7000000000000001;46.220365768,5.82233573131;"{""type"": ""Polygon"", ""coordinates"": [[[5.821737526977458, 46.18301150488476], [5.812215475464686, 46.18224738453302], [5.788188165090507, 46.192904161614045], [5.773927284586997, 46.1915861901878], [5.774657587297007, 46.194992315782905], [5.781858927105074, 46.20394384964217], [5.784254734408892, 46.22095995304061], [5.792888141346239, 46.2235234566859], [5.795314027386179, 46.23010456059902], [5.822493493189942, 46.23775904928584], [5.821485322794618, 46.24112697751778], [5.825770134247121, 46.24262450065164], [5.829383151286695, 46.25197778399194], [5.82626185816283, 46.261714682062724], [5.85065863164149, 46.261700846384706], [5.864676506058381, 46.2708911677296], [5.86918744284006, 46.26498364167058], [5.86212691966249, 46.251951736304456], [5.847396740410515, 46.238201632445865], [5.844926452549038, 46.217394752284456], [5.850841380234413, 46.20084713004799], [5.8258509100139815, 46.18932484352138], [5.821737526977458, 46.18301150488476]]]}"
1420;1082;74269;CHANAY;AIN;742.0;1838.0;0.6000000000000001;46.005695299,5.76893393185;"{""type"": ""Polygon"", ""coordinates"": [[[5.746368394040444, 45.98308940440477], [5.744569802187225, 45.99341384574883], [5.724386339637857, 46.02126544172176], [5.779517633529077, 46.02089046579092], [5.794139305542791, 46.01846739392641], [5.805472025953245, 46.01573644345413], [5.810541994476424, 46.008149976379904], [5.810188711622206, 45.99339032238331], [5.785924398266117, 45.99621546164319], [5.770369546490287, 45.987956005466906], [5.746368394040444, 45.98308940440477]]]}"
1430;1067;1269;CEIGNES;AIN;684.0;1020.0;0.30000000000000004;46.1256533435,5.49457379202;"{""type"": ""Polygon"", ""coordinates"": [[[5.513247937467027, 46.104933075188555], [5.501145050681312, 46.10936281614037], [5.482745591552206, 46.11037945115263], [5.474632070517167, 46.11257473535074], [5.473484710357378, 46.11557281654377], [5.475629628041088, 46.13182389280583], [5.483527730284546, 46.14628255349824], [5.518186253092805, 46.13635672089611], [5.508844715414424, 46.11685088472563], [5.514073350297806, 46.11164485427459], [5.513247937467027, 46.104933075188555]]]}"
1440;1451;1053;VIRIAT;AIN;230.0;4526.0;5.9;46.2508985632,5.22302249216;"{""type"": ""Polygon"", ""coordinates"": [[[5.210899046412501, 46.211209893866105], [5.188247658104478, 46.22887187902721], [5.178999763389032, 46.231328495856026], [5.176215881662545, 46.24163315130436], [5.16258508406319, 46.256134979101894], [5.182776581274696, 46.26552342461067], [5.1905248706536184, 46.27413959577863], [5.198802299980567, 46.27775448537166], [5.200808559633789, 46.28435481280466], [5.215346761378641, 46.28592859371535], [5.21726770296012, 46.292611404521864], [5.244989952976152, 46.28888830406555], [5.239674486811336, 46.283155540189455], [5.242132218293416, 46.272738498189455], [5.255063805748012, 46.267834703862526], [5.272305134805557, 46.24633982085816], [5.285253767175786, 46.240810474671775], [5.287225820362988, 46.225852623795255], [5.272710900939183, 46.22826959986789], [5.259098068751391, 46.22363114702096], [5.245153212489166, 46.227618759025226], [5.224836605872274, 46.22722522713482], [5.217960376609742, 46.222170698097976], [5.215885446042929, 46.2119416029869], [5.210899046412501, 46.211209893866105]]]}"
